event_date,event_timestamp,event_time,event_name,action_id,interaction_weight,user_key,session_key,location_id,location_name,location_category_name,primary_category,num_categories,is_hot_spot_location,is_favorite_location,previous_location_id,page_location,engagement_time_msec,engagement_time_msec_capped
20260701,1782921900000000,2026-07-01T16:05:00+00:00,map-user-action,marker_click,1.5,synthetic-user-008,synthetic-user-008-session-01,3fd80f7d-ab09-4088-9796-9571a14a7926,Clark Street in Lincoln Park,HOT SPOTS; Neighborhood Organizations,Neighborhood Organizations,2,1,0,,https://demo.invalid/places/3fd80f7d-ab09-4088-9796-9571a14a7926,1600,1600
20260701,1782921945000000,2026-07-01T16:05:45+00:00,page_view,detail_view,1.0,synthetic-user-008,synthetic-user-008-session-01,3fd80f7d-ab09-4088-9796-9571a14a7926,Clark Street in Lincoln Park,HOT SPOTS; Neighborhood Organizations,Neighborhood Organizations,2,1,0,,https://demo.invalid/places/3fd80f7d-ab09-4088-9796-9571a14a7926,4200,4200
20260701,1782922980000000,2026-07-01T16:23:00+00:00,map-user-action,marker_click,1.5,synthetic-user-008,synthetic-user-008-session-01,8c84468c-e58a-4eb7-acba-a9d1932f872a,Goose Island Taproom,Bars; Restaurants,Bars,2,0,0,3fd80f7d-ab09-4088-9796-9571a14a7926,https://demo.invalid/places/8c84468c-e58a-4eb7-acba-a9d1932f872a,1600,1600
20260701,1782923025000000,2026-07-01T16:23:45+00:00,page_view,detail_view,1.0,synthetic-user-008,synthetic-user-008-session-01,8c84468c-e58a-4eb7-acba-a9d1932f872a,Goose Island Taproom,Bars; Restaurants,Bars,2,0,0,3fd80f7d-ab09-4088-9796-9571a14a7926,https://demo.invalid/places/8c84468c-e58a-4eb7-acba-a9d1932f872a,4200,4200
20260701,1782924060000000,2026-07-01T16:41:00+00:00,map-user-action,marker_click,1.5,synthetic-user-008,synthetic-user-008-session-01,6cf9b47c-e237-456a-876d-8ba9028bf56e,Chicago's North Shore,HOT SPOTS; Neighborhood Organizations,Neighborhood Organizations,2,1,0,8c84468c-e58a-4eb7-acba-a9d1932f872a,https://demo.invalid/places/6cf9b47c-e237-456a-876d-8ba9028bf56e,1600,1600
20260701,1782924105000000,2026-07-01T16:41:45+00:00,page_view,detail_view,1.0,synthetic-user-008,synthetic-user-008-session-01,6cf9b47c-e237-456a-876d-8ba9028bf56e,Chicago's North Shore,HOT SPOTS; Neighborhood Organizations,Neighborhood Organizations,2,1,0,8c84468c-e58a-4eb7-acba-a9d1932f872a,https://demo.invalid/places/6cf9b47c-e237-456a-876d-8ba9028bf56e,4200,4200
20260701,1782925140000000,2026-07-01T16:59:00+00:00,map-user-action,marker_click,1.5,synthetic-user-008,synthetic-user-008-session-01,5e91b706-eae2-4e5e-8ae3-085bc517de57,Flyover Chicago,Attractions; HOT SPOTS,Attractions,2,1,0,6cf9b47c-e237-456a-876d-8ba9028bf56e,https://demo.invalid/places/5e91b706-eae2-4e5e-8ae3-085bc517de57,1600,1600
20260701,1782925185000000,2026-07-01T16:59:45+00:00,page_view,detail_view,1.0,synthetic-user-008,synthetic-user-008-session-01,5e91b706-eae2-4e5e-8ae3-085bc517de57,Flyover Chicago,Attractions; HOT SPOTS,Attractions,2,1,0,6cf9b47c-e237-456a-876d-8ba9028bf56e,https://demo.invalid/places/5e91b706-eae2-4e5e-8ae3-085bc517de57,4200,4200
20260701,1782929400000000,2026-07-01T18:10:00+00:00,map-user-action,marker_click,1.5,synthetic-user-016,synthetic-user-016-session-02,0ed825ef-99cd-4b15-8e93-5a0b9b6c65ed,Big Bus Tours Stop 2: Skydeck Chicago & Willis Tower,Big Bus Tours Stops,Big Bus Tours Stops,1,0,0,,https://demo.invalid/places/0ed825ef-99cd-4b15-8e93-5a0b9b6c65ed,1600,1600
20260701,1782929445000000,2026-07-01T18:10:45+00:00,page_view,detail_view,1.0,synthetic-user-016,synthetic-user-016-session-02,0ed825ef-99cd-4b15-8e93-5a0b9b6c65ed,Big Bus Tours Stop 2: Skydeck Chicago & Willis Tower,Big Bus Tours Stops,Big Bus Tours Stops,1,0,0,,https://demo.invalid/places/0ed825ef-99cd-4b15-8e93-5a0b9b6c65ed,4200,4200
