location_id,location_name,category_id,category_name
00239dbc-63a5-4ce1-9c87-8dc8afd8fa99,Route 66 League,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
002bef51-0b5d-4a9b-b04b-818a9cd9d1fc,Kingston Mines,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
002bef51-0b5d-4a9b-b04b-818a9cd9d1fc,Kingston Mines,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
002bef51-0b5d-4a9b-b04b-818a9cd9d1fc,Kingston Mines,f9b15bb5-2599-4d3b-a116-c3bc7e1f668c,Theaters And Music Venues
0113d8b9-f205-416e-aff3-d685385b3056,Residence Inn,60f360a5-edc9-4df0-b618-782985396946,Hotels
01bf94e7-d01f-451c-b5cc-7fa0ef1ee9d3,Target,d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops
02672df6-c98c-445f-9fa6-32bfc1f6887e,Water Tower Place,d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops
030e01ed-f343-4468-bc45-1722220ed333,Chicago Theatre,f9b15bb5-2599-4d3b-a116-c3bc7e1f668c,Theaters And Music Venues
04262787-4b85-4d95-a301-c7b3b6068a6d,Garrett Popcorn Shops,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
04262787-4b85-4d95-a301-c7b3b6068a6d,Garrett Popcorn Shops,d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops
04481351-3fde-49f7-b0ea-88c8cc71fe46,Nederlander Theatre,f9b15bb5-2599-4d3b-a116-c3bc7e1f668c,Theaters And Music Venues
06dffd31-ae21-4531-bc2c-04df20f85c1d,Saks 5th Ave.,d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops
07123afa-3536-4411-9cfb-2a764a0cb700,Raising Cane鈥檚 Chicken Fingers - Wrigleyville,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
07123afa-3536-4411-9cfb-2a764a0cb700,Raising Cane鈥檚 Chicken Fingers - Wrigleyville,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
075cbd0b-5080-46e7-b4c0-4628b3f50c6e,Canopy,60f360a5-edc9-4df0-b618-782985396946,Hotels
083c9dad-5d4b-4b3c-8802-d601dd515dad,Garrett Popcorn Shops,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
083c9dad-5d4b-4b3c-8802-d601dd515dad,Garrett Popcorn Shops,d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops
087d51b9-f781-4806-aab3-8075785fa6a8,Aloft,60f360a5-edc9-4df0-b618-782985396946,Hotels
08bb71a2-85d5-40c4-be63-8836184d0b66,Cone Gourmet Ice Cream,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
096d51e9-abb2-422a-9ecc-c201c21bf277,Studio W.I.P.,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
096d51e9-abb2-422a-9ecc-c201c21bf277,Studio W.I.P.,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
09edc7a5-adc5-4b62-8aef-bf419d6ed60d,St. Regis,60f360a5-edc9-4df0-b618-782985396946,Hotels
09eff1bb-4cc1-4973-83b8-ff08e0c6e9d0,Citizen M,60f360a5-edc9-4df0-b618-782985396946,Hotels
0b1bab11-a4df-488e-b6b3-b2ffadc71bc3,Roll Up,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
0b1bab11-a4df-488e-b6b3-b2ffadc71bc3,Roll Up,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
0ca4aa52-726e-4bcd-bd91-754da82c23ba,Big Bus Tours Stop 8: Navy Pier,1874d4f2-bc80-4c8f-a116-32f5ee9f199a,Big Bus Tours Stops
0d3f9129-9ece-4786-958a-18f45365dea5,Neiman-Marcus,d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops
0d495ac6-0b15-465f-a5a2-5786567b9f88,Kimpton Gray,60f360a5-edc9-4df0-b618-782985396946,Hotels
0d626e8e-3aeb-458e-b11a-c034e1599423,American Writers Museum,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
0d626e8e-3aeb-458e-b11a-c034e1599423,American Writers Museum,b3531d65-053c-420c-8b44-6076b45be5fa,Museums
0ed825ef-99cd-4b15-8e93-5a0b9b6c65ed,Big Bus Tours Stop 2: Skydeck Chicago & Willis Tower,1874d4f2-bc80-4c8f-a116-32f5ee9f199a,Big Bus Tours Stops
0eedc28c-5cfe-4e41-812e-6ffbb1199b59,360 Chicago Observation Deck,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
1000e24d-559b-45b2-bb6f-e078555a8a6f,Howl at the Moon,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
1000e24d-559b-45b2-bb6f-e078555a8a6f,Howl at the Moon,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
100cd1d6-0af9-497a-a070-063645f6304a,AC,60f360a5-edc9-4df0-b618-782985396946,Hotels
11a1045b-810d-4e53-9197-7fd4a5fca6a9,Sheraton,60f360a5-edc9-4df0-b618-782985396946,Hotels
122a12f9-cf54-4983-9787-64633fc79b15,Big Bus Tours Stop 4: Hilton Chicago & Grant Park,1874d4f2-bc80-4c8f-a116-32f5ee9f199a,Big Bus Tours Stops
136d7600-b2e2-4034-ab2f-474a2031106b,Bottom Lounge,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
136d7600-b2e2-4034-ab2f-474a2031106b,Bottom Lounge,f9b15bb5-2599-4d3b-a116-c3bc7e1f668c,Theaters And Music Venues
14733c5f-0069-4f0e-81c8-83f14cf74be6,Origin of Great Chicago Fire of 1871,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
149e5b06-fafe-45a5-987f-0a2ee647f8d2,Selva,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
1525a1f9-6615-4c5f-9b45-fc871577444a,Chicago Children's Museum,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
1525a1f9-6615-4c5f-9b45-fc871577444a,Chicago Children's Museum,b3531d65-053c-420c-8b44-6076b45be5fa,Museums
16222053-b164-48ad-86b2-d90b4f45dacb,Fairmont,60f360a5-edc9-4df0-b618-782985396946,Hotels
17ceefb6-a20a-4126-8004-e02a0065230a,Hilton Garden Inn,60f360a5-edc9-4df0-b618-782985396946,Hotels
199e5b2c-9b6d-4e8b-8b5e-749f9c887267,The Aberdeen Tap,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
199e5b2c-9b6d-4e8b-8b5e-749f9c887267,The Aberdeen Tap,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
19d6427a-63af-46fc-9b69-e8bdeeb060ea,Sofitel,60f360a5-edc9-4df0-b618-782985396946,Hotels
1b247e01-94a0-4a03-9afc-20bbd3401f92,Hampton Inn Homewood Suites,60f360a5-edc9-4df0-b618-782985396946,Hotels
1b3c8be6-9dcc-41bb-9285-a077203aa03f,Vertiport Chicago,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
1c7ef4bf-a014-4b12-b1b8-d051a3c2a929,The Berghoff,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
1c7ef4bf-a014-4b12-b1b8-d051a3c2a929,The Berghoff,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
1cc17f6b-9ea9-40d1-b9ea-879960a20e35,Raising Cane鈥檚 Chicken Fingers - Loyola,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
1cc17f6b-9ea9-40d1-b9ea-879960a20e35,Raising Cane鈥檚 Chicken Fingers - Loyola,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
1eb0d402-8f19-46df-90f8-0b1c953cfa88,Millennium Park,73a6f729-b6f6-4518-b28a-e8101b831263,Parks
1eb0d402-8f19-46df-90f8-0b1c953cfa88,Millennium Park,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
20afa61a-69d3-4a31-a37a-4068108a7832,Garrett Popcorn Shops,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
20afa61a-69d3-4a31-a37a-4068108a7832,Garrett Popcorn Shops,d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops
22a6c2ca-5511-4081-bb78-f739e3bf4384,The Emily Hotel,60f360a5-edc9-4df0-b618-782985396946,Hotels
23009197-97af-46e0-ab84-86de5152ec48,Mindworks: The Science of Thinking,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
23009197-97af-46e0-ab84-86de5152ec48,Mindworks: The Science of Thinking,b3531d65-053c-420c-8b44-6076b45be5fa,Museums
2303ceff-d524-4841-a4a1-fe97476dde43,Trump Int'l,60f360a5-edc9-4df0-b618-782985396946,Hotels
23da399f-67a6-4306-8910-2d230178dcfd,Su Taqueria El Rey Del Taco,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
24163594-cce9-48af-887a-33b2b9f99c1a,Hilton Suites Chicago Mag Mile,60f360a5-edc9-4df0-b618-782985396946,Hotels
25d65999-8943-418e-9c58-649330f792de,Tribune Tower,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
26de0f73-448c-4a37-bc6d-eea719dab500,"PB&J: Pizza, Beer and Jukebox",ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
26de0f73-448c-4a37-bc6d-eea719dab500,"PB&J: Pizza, Beer and Jukebox",c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
27079374-4b20-4dbc-8c9b-b49fd64eb928,City Cruises Chicago,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
27079374-4b20-4dbc-8c9b-b49fd64eb928,City Cruises Chicago,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
27509459-167a-4013-97c9-32c9330b6b39,Club Quarters,60f360a5-edc9-4df0-b618-782985396946,Hotels
27755721-8818-411e-83f3-80797b4cb084,Museum of Contemporary Art,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
27755721-8818-411e-83f3-80797b4cb084,Museum of Contemporary Art,b3531d65-053c-420c-8b44-6076b45be5fa,Museums
280c38f7-9929-48af-b70c-2a9332df553f,The Buckingham,60f360a5-edc9-4df0-b618-782985396946,Hotels
2bafb42b-1910-4bdf-a8b6-ebfaebcaf543,Griffin Museum of Science & Industry,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
2bafb42b-1910-4bdf-a8b6-ebfaebcaf543,Griffin Museum of Science & Industry,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
2bafb42b-1910-4bdf-a8b6-ebfaebcaf543,Griffin Museum of Science & Industry,b3531d65-053c-420c-8b44-6076b45be5fa,Museums
2ce8b4ca-5ee3-46bf-8cc7-f36ab8931d22,Chicago Architecture Center,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
2ce8b4ca-5ee3-46bf-8cc7-f36ab8931d22,Chicago Architecture Center,a983cb1b-95cb-44df-aab0-5410b0623553,Hot Spots
2e849575-3863-4e41-a89e-002bbbc81430,Hyatt Centric Mag Mile,60f360a5-edc9-4df0-b618-782985396946,Hotels
2f1265f4-632e-41f8-a3f8-6334a120c627,Hilton Chicago,60f360a5-edc9-4df0-b618-782985396946,Hotels
2f7682d4-6dfc-457e-9576-bf0b48776dc4,21c Museum Hotel,60f360a5-edc9-4df0-b618-782985396946,Hotels
2f89c142-063f-48be-9df8-bc3887c454ca,The Embassy Public House,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
2f89c142-063f-48be-9df8-bc3887c454ca,The Embassy Public House,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
30e333b3-7b46-42b4-b4d9-55ba70272f1f,Black Barrel Tavern,ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars
30e333b3-7b46-42b4-b4d9-55ba70272f1f,Black Barrel Tavern,c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants
315fc176-9cf0-43b2-a925-698e63c80dec,Hotel Felix,60f360a5-edc9-4df0-b618-782985396946,Hotels
319023c3-0e26-4fcf-9f60-0cc0038ebb9e,Hotel Cass,60f360a5-edc9-4df0-b618-782985396946,Hotels
383474ac-5960-410c-8c16-3d9efc04790d,Big Bus Tours Stop 7: Sheraton Grand Chicago,1874d4f2-bc80-4c8f-a116-32f5ee9f199a,Big Bus Tours Stops
38b7edc6-48db-4cf0-9aae-4d05963637c7,The LaSalle,60f360a5-edc9-4df0-b618-782985396946,Hotels
38d22200-3acd-46b2-8dfa-c345796faabe,Midland Hotel,60f360a5-edc9-4df0-b618-782985396946,Hotels
3916f62a-4a56-4ad7-9598-6ae0713d0602,Drake,60f360a5-edc9-4df0-b618-782985396946,Hotels
3930c498-4afe-43fd-a7d7-0501b64eaaec,Whitehall,60f360a5-edc9-4df0-b618-782985396946,Hotels
3940b0f9-eb88-4682-9d1b-0335dd3bde13,Arlo,60f360a5-edc9-4df0-b618-782985396946,Hotels
398f0ab3-55e0-45e0-8309-0a25178ed5d7,Courtyard by Marriott,60f360a5-edc9-4df0-b618-782985396946,Hotels
3a867f33-9c48-45e8-acb7-a5c95102a32a,Muddy Waters,0ef00d5e-edd8-4708-84ce-fb46d471f94f,Murals
3adf7ff3-a2c2-434e-afe7-b0d0d004153a,"The Hoxton, Chicago",60f360a5-edc9-4df0-b618-782985396946,Hotels
3af4c1b1-4d30-4910-ab84-59f346b1a544,Royal Sonesta River North,60f360a5-edc9-4df0-b618-782985396946,Hotels
3b8694ae-ef47-42dc-844d-f21f321a33af,Big Bus Tours Stop 6: Museum Campus,1874d4f2-bc80-4c8f-a116-32f5ee9f199a,Big Bus Tours Stops
3b97f91d-0aae-4060-a574-04bcb09f5357,CIBC Theatre,f9b15bb5-2599-4d3b-a116-c3bc7e1f668c,Theaters And Music Venues
3f423ab0-764c-495c-ab5d-f3b1ab3011c5,Museum of Contemporary Photography,a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions
3f423ab0-764c-495c-ab5d-f3b1ab3011c5,Museum of Contemporary Photography,b3531d65-053c-420c-8b44-6076b45be5fa,Museums
